name,release_date,price,developers,categories,genres,pct_pos_total,pct_pos_recent,num_reviews_total
Transformice,2015-01-30,0.0,['Atelier 801'],"['Multi-player', 'MMO', 'Steam Achievements', 'Steam Trading Cards', 'Includes level editor']",Massively Multiplayer,87,89,27398
BattleBit Remastered,2023-06-15,14.99,"['SgtOkiDoki', 'Vilaskis', 'TheLiquidHorse']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Partial Controller Support']",Massively Multiplayer,86,41,122760
Battlefield™ 1,2020-06-11,39.99,['DICE'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HDR available']",Massively Multiplayer,86,89,157894
Goose Goose Duck,2021-10-03,0.0,"['Gaggle Studios, Inc.']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Massively Multiplayer,86,84,70904
War Selection,2019-10-08,0.0,['Glyph Worlds'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']",Massively Multiplayer,86,86,21540
Fishing Planet,2017-08-28,0.0,['Fishing Planet LLC'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Remote Play on TV']",Massively Multiplayer,86,88,63690
Isonzo,2022-09-13,22.49,['BlackMill Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Massively Multiplayer,85,81,11874
Mechabellum,2024-09-26,14.99,['Game River'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Family Sharing']",Massively Multiplayer,85,82,12538
Stumble Guys,2021-10-07,0.0,['Scopely'],"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support']",Massively Multiplayer,85,81,125557
SCP: Containment Breach Multiplayer,2021-10-25,0.0,['Fusion Creators Studio'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",Massively Multiplayer,84,78,25673
ARK: Survival Evolved,2017-08-27,14.99,"['Studio Wildcard', 'Instinct Games', 'Efecto Studios', 'Virtual Basement LLC']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Massively Multiplayer,84,91,542022
Hell Let Loose,2021-07-27,29.99,['Team17'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']",Massively Multiplayer,84,83,88848
Paladins®,2018-05-08,0.0,['Evil Mojo Games'],"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Massively Multiplayer,84,83,346660
World of Tanks,2021-04-28,0.0,['Wargaming Group Limited'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Massively Multiplayer,84,77,84128
Spiral Knights,2011-06-14,0.0,['Grey Havens'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']",Massively Multiplayer,84,81,23589
Squad,2020-09-23,49.99,['Offworld'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",Massively Multiplayer,84,87,151100
Riders Republic,2023-06-08,7.99,"['Ubisoft Annecy', 'Ubisoft Belgrade', 'Ubisoft Kyiv', 'Ubisoft Pune', 'Ubisoft Odesa']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'HDR available']",Massively Multiplayer,84,76,17271
The Elder Scrolls® Online,2017-05-22,19.99,['ZeniMax Online Studios'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'HDR available', 'Family Sharing']",Massively Multiplayer,83,77,125551
Realm of the Mad God Exalt,2012-02-20,0.0,"['Wild Shadow Studios', 'Deca Games']","['Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Stats']",Massively Multiplayer,83,73,46327
Foxhole,2022-09-28,29.99,['Siege Camp'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Valve Anti-Cheat enabled']",Massively Multiplayer,83,86,37821
Old School RuneScape,2021-02-24,0.0,['Jagex Ltd'],"['Multi-player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Massively Multiplayer,82,72,18001
RuneScape ®,2020-10-14,0.0,['Jagex Ltd'],"['Multi-player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Massively Multiplayer,82,71,24983
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",2023-05-15,24.99,['Nils Jakrins'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Family Sharing']",Massively Multiplayer,82,67,14220
Soul Dossier,2021-03-29,0.0,['（Hong Kong）GKD'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']",Massively Multiplayer,82,81,26292
BRAIN / OUT,2017-02-24,0.0,['Desertkun'],"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Includes level editor']",Massively Multiplayer,82,93,15392
Temtem,2022-09-06,44.99,['Crema'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Massively Multiplayer,82,75,30954
Fall Guys,2020-08-03,0.0,['Mediatonic'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",Massively Multiplayer,81,83,474690
PlanetSide 2,2012-11-20,0.0,['Rogue Planet Games'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Trading Cards', 'Steam Cloud']",Massively Multiplayer,81,67,73312
The Lord of the Rings Online™,2012-06-06,0.0,"['Standing Stone Games, LLC']","['Multi-player', 'MMO', 'PvP', 'Co-op', 'In-App Purchases', 'Partial Controller Support']",Massively Multiplayer,81,74,20574
The Isle,2015-12-01,19.99,['Afterthought LLC'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",Massively Multiplayer,81,80,83810
Path of Exile 2,2024-12-06,29.99,['Grinding Gear Games'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Full controller support', 'HDR available']",Massively Multiplayer,81,76,104800
MechWarrior Online™ Legends,2015-12-10,0.0,['Piranha Games Inc.'],"['Multi-player', 'MMO', 'Steam Achievements', 'In-App Purchases']",Massively Multiplayer,80,85,12039
Enlisted,2024-07-16,0.0,['Darkflow Software'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Massively Multiplayer,80,79,23425
Trove,2015-07-09,0.0,['gamigo US Inc.'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support']",Massively Multiplayer,80,77,92302
IdleOn - The Idle RPG,2021-04-02,0.0,['Lavaflame2'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Massively Multiplayer,79,85,20028
Albion Online,2018-05-16,0.0,['Sandbox Interactive GmbH'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",Massively Multiplayer,79,74,80910
Soulmask,2024-05-30,29.99,['CampFire Studio'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Massively Multiplayer,79,74,11501
Star Trek Online,2012-01-31,0.0,['Cryptic Studios'],"['Multi-player', 'MMO', 'Co-op', 'Full controller support', 'In-App Purchases']",Massively Multiplayer,79,84,19955
Squad 44,2018-08-09,29.99,['Offworld'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Workshop', 'Partial Controller Support']",Massively Multiplayer,79,63,18120
SMITE®,2015-09-08,0.0,['Titan Forge Games'],"['Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']",Massively Multiplayer,78,66,119742
Conan Exiles,2018-05-08,39.99,['Funcom'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Massively Multiplayer,78,81,70491
The Crew™ 2,2018-06-28,8.99,['Ivory Tower'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",Massively Multiplayer,78,78,79794
Bro Falls,2021-12-30,0.0,['Boros Bros'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'In-App Purchases', 'Steam Cloud']",Massively Multiplayer,78,80,19938
